rsi_period,rsi_oversold,rsi_overbought,ema_fast,ema_slow,bb_period,bb_std,confidence_threshold,total_trades,win_rate,total_return,max_drawdown,sharpe_ratio,profit_factor,avg_trade_duration_hours,best_trade,worst_trade
10,20,75,5,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,75,5,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,21,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,5,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,21,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,75,5,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,9,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,70,12,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,9,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,21,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,21,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,75,9,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,75,9,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,9,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,75,9,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,75,9,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,26,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,12,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,75,5,21,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,12,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,5,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,9,21,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,21,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,9,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,12,21,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,20,2.0,85,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,20,2.5,75,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
10,20,80,12,26,20,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,15,2.0,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,15,2.0,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,15,2.5,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,15,2.5,80,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,15,2.5,85,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,20,2.0,75,0,0,0,0,0,0,0.0,0,0
10,25,70,5,18,20,2.0,80,0,0,0,0,0,0,0.0,0,0
10,30,80,12,26,20,2.5,80,0,0,0,0,0,0,0.0,0,0
14,20,70,5,18,15,2.0,75,0,0,0,0,0,0,0.0,0,0
